id,title,author,downloads,subjects,birth,death,pyearp
PG16097,"The Pursuit of the House-Boat: Being Some Further Account of the Divers Doings of the Associated Shades, under the Leadership of Sherlock Holmes, Esq.","Bangs, John Kendrick",27,"{'Holmes, Sherlock (Fictitious character) -- Fiction', 'Doyle, Arthur Conan, 1859-1930 -- Parodies, imitations, etc.', 'Fantasy fiction'}",1862.0,1922.0,1892.0
PG21997,"Christie's Old Organ: Or, ""Home, Sweet Home""","Walton, O. F., Mrs.",15,"{'Friendship -- Juvenile fiction', 'Christian life -- Juvenile fiction', 'Poverty -- Juvenile fiction'}",1849.0,1939.0,1894.0
PG66248,"The Texas Hawks; or, The Strange Decoy","Badger, Jos. E. (Joseph Edward)",61,"{'Dime novels', 'Brigands and robbers -- Fiction', 'Kiowa Indians -- Fiction', 'Texas -- Fiction'}",1848.0,1909.0,1878.0
PG787,The Man Between: An International Romance,"Barr, Amelia E.",12,"{'Love stories', 'Betrothal -- Fiction'}",1831.0,1919.0,1875.0
PG34599,What the Swallow Sang: A Novel,"Spielhagen, Friedrich",27,{'Fiction'},1829.0,1911.0,1870.0
PG29866,Hidden Hand,"Southworth, Emma Dorothy Eliza Nevitte",59,{'Women -- United States -- Fiction'},1819.0,1899.0,1859.0
PG1189,The Message,"Balzac, Honoré de",14,{'French fiction -- Translations into English'},1799.0,1850.0,1824.0
PG21233,"""All's Well""; or, Alice's Victory","Holt, Emily Sarah",6,"{'Counter-Reformation -- England -- Fiction', 'Historical fiction'}",1836.0,1893.0,1864.0
PG63458,Pussy-Cat Town,"Taggart, Marion Ames",10,{'Cats -- Juvenile fiction'},1866.0,1945.0,1906.0
PG4466,Diana of the Crossways — Volume 2,"Meredith, George",1,"{'Scandals -- Fiction', 'Great Britain -- Fiction', 'Separated people -- Fiction', 'Psychological fiction', 'Political fiction', 'Politicians -- Fiction', 'Married women -- Fiction'}",1828.0,1909.0,1868.0
PG22219,The Flight of Pony Baker: A Boy's Town Story,"Howells, William Dean",10,"{'Runaway children -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Parent and child -- Juvenile fiction', 'Amusements -- Juvenile fiction'}",1837.0,1920.0,1878.0
PG10882,The Eagle's Shadow,"Cabell, James Branch",37,"{'Historical fiction', 'Middle Ages -- Fiction', 'Fantasy fiction'}",1879.0,1958.0,1918.0
PG9769,"Alice, or the Mysteries — Book 07","Lytton, Edward Bulwer Lytton, Baron",22,{'English fiction -- 19th century'},1803.0,1873.0,1838.0
PG25132,The Candidate: A Political Romance,"Altsheler, Joseph A. (Joseph Alexander)",20,"{'Political campaigns -- Fiction', 'Political fiction'}",1862.0,1919.0,1890.0
PG2763,The World's Desire,"Lang, Andrew",55,"{'Fantasy fiction', 'Greece -- Fiction', 'Helen, of Troy, Queen of Sparta -- Fiction', 'Odysseus, King of Ithaca (Mythological character) -- Fiction', 'Adventure stories'}",1844.0,1912.0,1878.0
PG51233,The Marching Morons,"Kornbluth, C. M. (Cyril M.)",2016,{'Science fiction'},1923.0,1958.0,1940.0
PG33680,"Highway Pirates; or, The Secret Place at Coverthorne","Avery, Harold",11,"{'Friendship -- Juvenile fiction', 'Boys -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Smugglers -- Juvenile fiction'}",1867.0,1943.0,1905.0
PG35502,The Basket Woman: A Book of Indian Tales for Children,"Austin, Mary",36,{'Indians of North America -- Juvenile fiction'},1868.0,1934.0,1901.0
PG23356,A Struggle For Life,"Aldrich, Thomas Bailey",6,"{'United States -- Social life and customs -- 19th century -- Fiction', 'Short stories'}",1836.0,1907.0,1872.0
PG34481,The Prime Minister,"Kingston, William Henry Giles",18,"{'Portugal -- History -- Joseph, 1750-1777 -- Fiction'}",1814.0,1880.0,1847.0
PG55021,Through Swamp and Glade: A Tale of the Seminole War,"Munroe, Kirk",7,"{'Seminole War, 2nd, 1835-1842 -- Juvenile fiction', 'War -- Juvenile fiction', 'Soldiers -- Juvenile fiction', 'Swamps -- Juvenile fiction', 'Slavery -- Juvenile fiction', 'Indian reservations -- Florida -- Juvenile fiction', 'Florida -- Juvenile fiction', 'Osceola, Seminole chief, 1804-1838 -- Juvenile fiction', 'Seminole Indians -- Juvenile fiction', 'Adventure stories', 'Cruelty -- Juvenile fiction'}",1850.0,1930.0,1890.0
