;author;title;year;avgsentlen
PG6407;Walter+Scott;Abbot;1820;39.38263027295285
PG23832;Day+Lee;Summerfield+Life;1852;27.320147502514246
PG25419;Lillian+Roy;Polly+Eleanor;1910;21.881444647997906
PG66375;Stendhal;Charterhouse+Parma;1822;34.48258455325593
PG53455;William+Scargill;Rank+Talent;1829;35.724313326551375
PG56087;Fergus+Hume;Queer+Street;1913;18.024001192605844
PG35493;Jim+Kjelgaard;Black+Fawn;1958;18.876212780194045
PG32901;Phelps;Merchants+Venus;1819;17.151219512195123
PG966;Thomas+Peacock;Maid+Marian;1822;31.16842105263158
PG52386;Edward+Stratemeyer;Club+Boys;1908;16.220323741007196
PG42324;Mary+Shelley;Frankenstein+Modern;1834;28.28289855072464
PG35818;Frank+Packard;Doors+Night;1920;19.79624427029425
PG4268;Elizabeth+Gaskell;Cousin+Phillis;1848;26.21121778676099
PG22597;Les+Cole;Question+Comfort;1954;14.681286549707602
PG39376;James;Gipsy+Tale;1800;40.631768953068594
PG41619;Sax+Rohmer;Haunting+Fennel;1920;21.169437566324724
PG2154;Jules+Verne;Around+World;1876;21.267276422764226
PG64095;Mannington+Caffyn;Yellow+Aster;1800;21.689524838012957
PG30884;Rosel+Brown;Step;1956;16.903703703703705
PG7006;Henty;Bonnie+Prince;1895;28.06229707792208
PG1298;Owen+Wister;Virginian+Horseman;1900;17.05683156654888
PG18949;Beam+Piper;Moron;1944;18.96073619631902
PG215;Jack+London;Call+Wild;1906;23.52498530276308
PG12315;Mary+Sherwood;Shanty+Blacksmith;1836;45.58994413407821
PG18814;Beam+Piper;Mercenaries;1944;19.488448844884488
PG66143;Richard+Shaver;Paradise+Planet;1951;17.504424778761063
PG43678;Walter+Scott;Anne+Geierstein;1829;36.84116515526244
PG35614;Giesy;Palos+Star;1942;21.39087018544936
PG56676;Harry+Castlemon;Buried+Treasure;1888;24.90086335218815
PG41206;Lester+Chadwick;Batting+Story;1911;17.61806940566414
PG7112;Blackmore;Erema+Father;1877;26.933291139240506
PG45687;Maria+Pool;Friendship+Folly;1880;15.962156663275687
PG13577;Janet+Aldridge;Meadow+Brook;1913;15.135719108710331
PG40955;James+Hogg;Brownie+Bodsbeck;1818;36.315644002211165
